,mot_chinois,sent_chinois,sent_fr,mot_fr
35,不寒而栗,一个推论令她不寒而栗,"Plus elle y pensait, plus cette idée la faisait frissonner, ", faisait frissonner
36,焦躁不安,林间的动物变得焦躁不安,"les animaux de la forêt s'agitaient,", s'agitaient
37,头晕恶心,人也会出现头晕恶心等许多不明症状," et il arrivait que les humains souffrent de maux de tête ou de nausées.
",maux de tête ou de nausées
38,密密麻麻,"同时从那里拿出了几页写得密密麻麻的稿纸, 递给文洁","l en profita pour sortir du même endroit quelques feuilles de brouillon barbouillées de caractères et les tendit à Wenjie :
",Barbouillées
39,石沉大海,大多数信件石沉大海,mais la plupart étaient des cailloux jetés à la mer.,des cailloux jetés à la mer
40,飞黄腾达,也有少数人因此一夜之间飞黄腾达或面临灭顶之灾。,"D'autres, plus rares, valaient à leurs auteurs une promotion express ou une totale destruction.
",une promotion express 
41,灭顶之灾,也有少数人因此一夜之间飞黄腾达或面临灭顶之灾。,"D'autres, plus rares, valaient à leurs auteurs une promotion express ou une totale destruction.
",une totale destruction
42,错综复杂,当时的政治神经是极其错综复杂的，,"le système nerveux de la politique en Chine était extrêmement complexe.
",complexe
43,不得而知,"是否感到过自责和忏悔也不得而知。
","Quant à savoir s'il éprouva du remords ou du repentir, personne ne le saura jamais.
",personne ne le saura jamais
44,仁至义尽,连里对你可是仁至义尽了,nous t'avons toujours traitée avec tous les égards possibles dans ce régiment ! c,traitée avec tous les égards possibles 
45,根深蒂固,她对‘文化大革命’的抵触情绪是根深蒂固的, Je savais depuis le début que sa résistance à la Révolution culturelle était profondément enracinée,profondément enracinée
46,一动不动,叶文洁默默地看着那份文件，一动不动，没有去接笔。,"Ye Wenjie observa silencieusement le rapport, mais elle resta immobile et ne saisit pas le stylo qui lui était tendu.
",resta immobile 
47,一时糊涂,"你别一时糊涂啊。”
",ne sois pas stupide cette fois.,ne sois pas stupide cette fois
48,深人骨髓,深人骨髓的寒冷使她眼中的现实世界变成一片乳白色,En pénétrant dans sa moelle,En pénétrant dans sa moelle
49,鲜明对比,她的纤小与那面旗的阔大形成鲜明对比,"À son sommet, une jeune fille agitait un drapeau, la maigreur de son visage contrastait furieusement avec la majesté du drapeau.
", contrastait 
50,所剩无几,"倒数着她那所剩无几的生命。
","flottait en continu comme le pendule d'une horloge éternelle comptant le peu d'années qu'il lui restait à vivre.
",lui restait
51,滚滚云海,窗外是缓缓移去的滚滚云海,"Des cylindres de nuages pivotaient lentement.
",Des cylindres de nuages 
52,若即若离,他与导师的关系若即若离，, il maintint avec son professeur une relation aussi distante que respectueuse., aussi distante 
53,敬而远之,他们相互之间保持着敬而远之的距离, il maintint avec son professeur une relation aussi distante que respectueuse.,que respectueuse.
54,证据确凿,你的反革命罪行证据确凿,"vous avez été convaincue d'un acte de trahison contre-révolutionnaire
",convaincue 
55,罪有应得,将要面临的审判也是罪有应得；,Le tribunal vous a condamnée à une peine à la hauteur de votre faute,e peine à la hauteur de votre faute
56,五大三粗,这人长得五大三粗，一脸横肉,"grand et robuste, avait une mine patibulaire.",grand et robuste
57,一脸横肉,这人长得五大三粗，一脸横肉,"grand et robuste, avait une mine patibulaire.
"," avait une mine patibulaire.
"
58,粗声大嗓,说话粗声大嗓,grognait plus qu'il ne parlait.,grognait plus qu'il ne parlait
59,直呼其名,那人问，直呼其名令汪淼很不舒服,Cette façon de l'interpeller directement par son nom l'irrita au plus haut point,l'interpeller directement par son nom
60,吃惊不小,汪淼一进去就对这里的纷乱吃惊不小。,Wang Miao fut stupéfait du chaos qui régnait à l'intérieur., fut stupéfait 
61,神情疲惫,与会者大多神情疲惫,"La plupart des participants avaient l'air épuisés, ",avaient l'air épuisés
62,大吃一惊,这些人的身份令他大吃一惊：,"Ce qui l'étonnait davantage, ", étonnait davantage
63,戴罪立功,那我是戴罪立功了,"— Une chance, en reconnaissance des services rendus ?",en reconnaissance des services rendus 
64,车流如织,街道上车流如织,ses artères et ses cortèges de voitures.,ses artères et ses cortèges de voitures
65,心不在焉,有些心不在焉,l'esprit distrait.,l'esprit distrait
66,一片空白,汪淼的大脑一片空白,Wang Miao eut un grand blanc,un grand blanc
67,长篇大论,"都是长篇大论。
", toutes très longues., toutes très longues
68,别无选择,但别无选择, mais je n'ai pas d'autre choix.,n'ai pas d'autre choix
69,闻名于世,这名物理学家因在对球状闪电（注：此处参见作者本人的《球状闪电》。）的研究中发现宏原子而闻名于世。,"Il s'était fait un nom en découvrant le macro-atome lors de ses recherches sur la foudre en boule.
",s'était fait un nom
70,茫然四顾,汪淼茫然四顾,Wang Miao regarda autour de lui.,regarda autour de lui
71,无影无踪,刚才那一丝感激消失得无影无踪,L'infime sentiment de gratitude qu'il avait ressenti plus tôt disparut aussitôt.,disparut aussitôt
72,寸步难行,我们寸步难行,"Avec eux, nous marchons sur des œufs.", marchons sur des œufs
73,肉包子打狗,让他去不是‘肉包子打狗’吗, ça aurait été jeter une boulette de viande à une meute de chiens !,jeter une boulette de viande à une meute de chiens
74,难以置信,你现在对这令人难以置信的结果做出解释, Commence par expliquer ces incroyables résultats., incroyables 
75,别无选择,，但别无选择," mais je n'ai pas d'autre choix.""",n'ai pas d'autre choix.
76,难以想象,难以想象的力量正在扼杀科学,"ne puissance inimaginable est en train d'assassiner la science.
",ne puissance inimaginable 
77,人迹罕至,他最向往的题材是人迹罕至的荒野,son thème favori était les espaces naturels où ne transparaissait pas l'empreinte humaine.,où ne transparaissait pas l'empreinte humaine.
78,有意无意,他有意无意地选取城市中那些散发着蛮荒气息的角落,"Volontairement ou non,","Volontairement ou non,"
79,深不见底,他向深不见底的蓝色苍穹望去,"puis ses yeux s'abîmèrent dans le bleu infini du ciel.
","t dans le bleu infini du ciel.
"
80,斑驳一片,老墙斑驳一片，,La logique voulait que la suite de chiffres , voulait que la suite de chiffres 
81,赏心阅目,但汪淼觉得这是他看过的最赏心阅目的照片了。,mais Wang Miao trouva que c'étaient les photos les plus réjouissantes qui lui aient jamais été données de voir., plus réjouissantes qui lui aient jamais été données de voir.
82,不知所措,丢下妻子在频频闪光中不知所措,"Prise dans le feu des flashs, elle semblait complètement désemparée.", désemparée.
83,习以为常,对家里频繁来往的学者们也习以为常,Les allées et venues de scientifiques à son domicile n'étaient pour lui qu'une banale routine.,une banale routine.
84,无所事事,但他并非无所事事,Mais il avait de quoi occuper ses journées ,de quoi occuper 
85,心不在焉,见到任何人都是心不在焉地打个招呼,Il saluait distraitement les hôtes,distraitement 
86,面无表情,面无表情地对汪淼点点头,"l'air indifférent, ","l'air indifférent, "
87,危言耸听,与那些空洞地危言耸听的学者不同,Les prédictions de Pan Han étaient autrement plus concrètes et détaillées que les prophéties abstraites dont les oracles de la science abreuvaient d'ordinaire les médias.,les prophéties abstraites 
88,令人震惊,其准确度达到令人震惊的程度,"Leur taux d'exactitude était d'ailleurs tel qu'une légende le disant venu du futur était née.
",légende 
89,闻名于世,他使自己闻名于世的另一个创举,"Il devait aussi sa réputation au fait d'avoir fondé la première communauté expérimentale en Chine.
",sa réputation
90,荒野之地,他的“中华田园”不是处于荒野之地,"la communauté appelée ""Chine pastorale"" n'était pas basée en pleine nature, mais au milieu de la plus grande ville du pays.", n'était pas basée en pleine nature
91,不计其数,不定期到其中体验生活的人更是不计其数, tandis que le nombre de ceux qui y restaient un temps plus court pour expérimenter ce nouveau mode de vie était incalculable., incalculable.
92,自给自足,人口均匀分布于自给自足的小村镇中,Il se prononçait en faveur de la dissolution progressive des villes et pour une répartition des populations dans des villages afin de favoriser l'autosuffisance,autosuffisance
93,疲惫不堪,搞得整个项目组疲惫不堪,"ce qui avait le don d'exaspérer l'équipe.
",exaspérer 
94,大发雷霆,但主任小心翼翼地没提停机和暂停试验的事，怕汗淼又像上几次那样大发雷霆,"Toutefois le responsable prit des pincettes et n'évoqua pas l'hypothèse d'un arrêt des machines et d'une pause dans l'expérience, par peur que cela ne déclenche chez Wang Miao les mêmes sautes d'humeur que les dernières fois.
", sautes d'humeur 
95,力不能及,射手和农场主应该能够玩弄人类力不能及的更大尺度,Le sniper et le fermier peuvent jouer à une échelle inatteignable par les humains., inatteignable
96,令人信服,那种力量要真正令人信服,Pour que votre démonstration soit vraiment convaincante, convaincante
97,不顾一切,但随之而来的愤怒又使他不顾一切了," très vite, sa colère reprit le dessus :",reprit le dessus
98,沉默良久,沉默良久,Sa question fut suivie d'un long silence., suivie d'un long silence.
99,心不在焉,心不在焉的,Tout le monde a l'esprit ailleurs., a l'esprit ailleurs
100,高低不等,汪淼看到每层之间都有高低不等的一小堆细沙,Wang Miao vit éclore entre terre et ciel les mots :,entre terre et ciel 
101,面面相觑,周文王和追随者面面相觑,"Le roi et son laquais s'interrogèrent du regard puis leurs visages se tournèrent simultanément vers Wang Miao, ", s'interrogèrent du regard 
102,心旷神怡,今汪淼心旷神怡，,Wang Miao fut saisi par une vague de chaleur qui raviva et revigora son âme.,qui raviva et revigora son âme
103,模糊不清,面部的五官都模糊不清了, il ne restait plus qu'une peau flasque étendue sur le sol et sur laquelle il était désormais difficile de distinguer les traits de son visage.,difficile de distinguer
104,相依为命,两人相依为命，,Le roi Wen et Wang Miao comptaient l'un sur l'autre pour survivre.,comptaient l'un sur l'autre pour survivre
105,炯炯有神,双眼变得炯炯有神,Le roi désigna alors Wang Miao du doigt et ses yeux s'illuminèrent :,s'illuminèrent 
106,喜怒无常,他醒着的时候喜怒无常,le dieu est très énervé ,très énervé 
107,日夜不停,日夜不停地摆动,balancer de jour comme de nuit,de jour comme de nuit
108,黯然失色,使所有的火炬黯然失色,"t d'autres fois d'un éclat si intense que les torches paraissaient bien pâles à côté de la zone carrée incandescente projetée sur le sol.
",bien pâles 
109,如梦初醒,他们睁大如梦初醒的眼睛看着这风和日丽的世界,"Ils ouvrirent les paupières comme s'ils s'éveillaient d'un long rêve en regardant ce monde baigné de soleil et bercé par la brise.
",comme s'ils s'éveillaient d'un long rêve
110,赤身裸·体,赤身裸·体地奔向干仓,Les hommes s'extirpèrent du lac et coururent nus sur la rive.,nus
111,兴高采烈,兴高采烈地奔向湖岸,si pressés de rejoindre la rive qu'ils ne lui prêtèrent aucune attention.,si pressés
112,跌跌撞撞,一名大臣从洞门里跌跌撞撞地跑进来,"Un ministre accourut et trébucha dans la salle d'audience, en criant d'une voix larmoyante :
",accourut et trébucha 
113,无法比拟,其中的虚拟现实场景和附加效果都是他学生时代所无法比拟的,"Les scènes de réalité virtuelle de même que tous les effets sensoriels permis par les jeux d'aujourd'hui étaient sans commune mesure avec ceux des jeux auxquels il jouait quand il était étudiant.
",sans commune mesure
114,似有似无,空荡荡的蓝天上只有一缕似有似无的白云,"dans lequel n'apparaissait qu'un mince nuage blanc à peine perceptible.
",n'apparaissait qu'un mince
115,反其道而行之,它的设计者是反其道而行之,Il comprit soudain que l'originalité des Trois Corps résidait dans le fait que son créateur avait pris le parfait contrepied des jeux traditionnels., le parfait contrepied
116,引人注意,关键在于不引人注意的飞星,La clef doit se trouver dans le secret de ces étoiles volantes en apparence insignifiantes.,en apparence insignifiantes
117,天衣无缝,"她这几乎天衣无缝的善解人意令汪淼一阵感动。
","Il éprouva un sentiment de gratitude pour cette réaction sciemment pensée.
"," réaction sciemment pensée.
"
118,善解人意,"她这几乎天衣无缝的善解人意令汪淼一阵感动。
","Il éprouva un sentiment de gratitude pour cette réaction sciemment pensée.
",un sentiment de gratitude
119,不可理解,汪淼又发现了一件多少让他不可理解的事：,Wang Miao découvrit autre chose qui le laissa perplexe.,perplexe
120,无能为力,一种想表达某种东西又无能为力的恼怒和绝望,"Wang Miao y voyait la colère et le désespoir intenses d'une petite fille incapable d'exprimer quelque chose, un sentiment rare chez les enfants de cet âge.
",le désespoir intenses 
121,高下之分,"这没有高下之分，对世界来说都是必不可少的。”
","Je lui ai dit que les femmes ne pensaient pas comme les hommes, que ce n'était pas une différence de valeur, que le monde avait besoin des deux","ce n'était pas une différence de valeur,"
122,必不可少,"这没有高下之分，对世界来说都是必不可少的。”
","Je lui ai dit que les femmes ne pensaient pas comme les hommes, que ce n'était pas une différence de valeur, que le monde avait besoin des deux",que le monde avait besoin des deux
123,随意为之,开始我以为她是随意为之,"Au début, je me suis dit qu'elle avait choisi le disque au hasard,",au hasard
124,难以想象,现在发生了一些让我们难以想象的事,"Ce qui se passe en ce moment est quelque chose que personne n'avait jamais imaginé, ",que personne n'avait jamais imaginé
125,不寒而栗,这景象令汪淼不寒而栗,"Cette scène fit frissonner Wang Miao, qui se rappela les pendules du jeu des Trois Corps.",fit frissonner
126,一模一样,一模一样。, absolument synchrones., absolument synchrones.
127,手忙脚乱,手忙脚乱地启动系统,Sha Ruishan sortit son ordinateur portable qu'il démarra les mains tremblantes., les mains tremblantes
128,迫不及待,汪淼迫不及待地抓过激光打印机吐出的第一张纸,"Wang Miao attendait avec impatience de saisir la première feuille que recracherait l'imprimante laser et de tracer les courbes avec un crayon pour comparer les distances entre les pics de variation et l'alphabet morse.
",avec impatience 
129,费尽口舌,"沙瑞山费尽口舌才说服那个被半夜叫醒的人一小时后在天文馆等汪淼。
","Son interlocuteur mit longtemps à décrocher et Sha Ruishan dut ensuite batailler ferme pour convaincre l'homme qu'il avait réveillé en pleine nuit d'attendre Wang Miao au planétarium dans une heure.
",ensuite batailler ferme
130,睡眼惺忪,那名睡眼惺忪的天文馆1二作人员已经在门口等汪淼了,"L'employé du planétarium l'attendait devant l'entrée, les yeux bouffis de sommeil.",les yeux bouffis de sommeil
131,漫无目标,同样漫无目标的,toujours aveuglément.,aveuglément
132,脆弱无助,一时间又回到了脆弱无助的孩童时代, il redevenait un enfant faible et vulnérable., faible et vulnérable
133,难兄难弟,咱俩是难兄难弟,"Nous sommes dans la même galère, ", la même galère
134,青山绿水,上面青山绿水的,"Les histoires se déroulent dans des montagnes verdoyantes ou au bord de ruisseaux d'eau claire où de beaux jeunes gens travaillent la terre, ",des montagnes verdoyantes ou au bord de ruisseaux d'eau claire 
135,男耕女织,不知哪个年代的帅哥靓妹在里面男耕女织过得挺舒服，,"Les histoires se déroulent dans des montagnes verdoyantes ou au bord de ruisseaux d'eau claire où de beaux jeunes gens travaillent la terre, ",de beaux jeunes gens travaillent la terre
136,摇旗呐喊,最后还为之摇旗呐喊。,"— Faux.
Il y a dans le monde beaucoup de scientifiques de premier ordre qui se sont laissé berner par des pseudoscientifiques et qui leur ont même servi de porte-drapeaux.
",qui leur ont même servi de porte-drapeaux
137,无知无畏,我这样无知无畏的人玩不了，,"Un analphabète comme moi est incapable d'y jouer, il faut quelqu'un avec vos connaissances pour ça.
",Un analphabète 
138,引人注目,最引人注目的是平台中央的一个大铜球,"Mais ce qui capta le plus son attention était une grande boule en cuivre située au centre de la plateforme.
", qui capta le plus son attention
139,风中飞扬,"剩下的在风中飞扬。
", ses longs cheveux étaient négligemment noués au sommet de son crâne et de nombreuses mèches volaient au vent.,volaient au vent
140,梦寐以求,这是过去上百个文明梦寐以求的东西啊。,Vous avez devant vous le rêve de centaines de civilisations passées !,le rêve
141,晶莹闪亮,现在渐渐变成一个个晶莹闪亮的镜面,"ils devenaient peu à peu des miroirs cristallins, comme si la terre avait ouvert une myriade d'yeux.
","une myriade d'yeux.
"
142,点点排火,大地上点点排火与夜空渐密的群星相映。,"La nuit venue, les flammes des feux de camp reflétèrent le ciel rempli d'étoiles.", les flammes des feux de camp 
143,群星相映,大地上点点排火与夜空渐密的群星相映。,"La nuit venue, les flammes des feux de camp reflétèrent le ciel rempli d'étoiles.",reflétèrent le ciel rempli d'étoiles.
144,人山人海,金字塔下面人山人海,"Une marée de sujets s'était rassemblée au pied de la pyramide, ",Une marée de sujets
145,横贯视野,成一个横贯视野的完美弧形，,La ligne de l'horizon se courba comme un arc parfait allant d'un point à l'autre du champ de vision.,d'un point à l'autre du champ de vision.
146,声嘶力竭,汪淼听到马上的人在声嘶力竭地大喊,La foule lui ouvrit la route et Wang Miao entendit le cavalier s'époumoner :,s'époumoner 
147,转瞬即逝,耀眼的晚霞转瞬即逝,"Les rayons étincelants du crépuscule disparurent alors et la nuit,",disparurent alors 
148,无处躲藏,，无处躲藏,dans l'incapacité de lui échapper.,dans l'incapacité de lui échapper.
149,历经沧桑,眼前这位历经沧桑变得平静淡泊的老人,", cette vieille femme qui avait enfin trouvé la paix après tant d'épreuves et l'ignorant,","après tant d'épreuves et l'ignorant,"
150,摇摇欲坠,成了他摇摇欲坠的精神世界的两根支柱,le téméraire commissaire Shi Qiang étaient devenus les deux piliers qui empêchaient encore son esprit de tomber en ruine.,empêchaient encore
151,不可思议,“那真是件不可思议的事情,"C'était un projet extraordinaire,","projet extraordinaire,"
152,念念叨叨,大家都喜欢念念叨叨地回忆往事,"Tout le monde aime ressasser ses souvenirs, mais seulement dans l'espoir qu'on les écoutera.
","dans l'espoir qu'on les écoutera.
"
153,大相径庭,这与她父亲的观点倒是大相径庭,C'était une vision qu'était loin de partager son père, loin de partager 
154,百思不得其解,但走到这个位置的另一个原因却令她百思不得其解,Mais une autre raison expliquait la rapidité avec laquelle elle avait acquis ce statut : ,Mais une autre raison expliquait la rapidité 
155,小心翼翼,对部下也只能小心翼翼的,"Il devait se méfier des techniciens et se montrer poli avec les soldats placés en sentinelle,", se montrer poli
156,不知所措,叶文洁有些不知所措,"Wenjie ne savait pas vraiment comment répondre à la question de Lei Zhicheng.
", ne savait pas vraiment comment répondre
157,欲言又止,"她想了想，欲言又止。
","Elle réfléchit, voulut dire quelque chose mais finit par s'abstenir.",mais finit par s'abstenir.
158,恍然大悟,叶文洁恍然大悟,Tout s'éclairait soudain dans l'esprit de Ye Wenjie.,Tout s'éclairait soudain
159,随心所欲,"竟能那样随心所欲地操纵海量数据。
"," de manipuler à son aise une grande quantité de données.
", à son aise 
160,神色黯然,神色黯然, l'air abattu., l'air abattu.
161,立功赎罪,立功赎罪, J'ose espérer que tu saisiras l'opportunité qui t'est offerte pour travailler dur et expier tes crimes., pour travailler dur et expier tes crimes.
162,老老实实,你在基地只许老老实实,"Désormais, nous exigerons de toi que tu te comportes avec la plus grande probité.",avec la plus grande probité.
163,难以置信,"这是一个比雷志成的谎言更加令人难以置信的时代神话。
"," bien plus incroyable que tous les mensonges de Lei Zhicheng.
", bien plus incroyable
164,引人注目,最引人注目的是平台中央的一个大铜球,"Mais ce qui capta le plus son attention était une grande boule en cuivre située au centre de la plateforme.
",qui capta le plus son attention 
165,百忙之中,百忙之中下一步闲棋是很有必要的,"Il est nécessaire de prendre le temps d'investir dans d'autres projets malgré les problèmes immédiats auxquels la nation est confrontée.
",prendre le temps
166,旁观者清,旁观者清,Les spectateurs ont toujours une meilleure vue que les acteurs.,Les spectateurs ont toujours une meilleure vue que les acteurs.
167,不得而知,其实成功与否现在还不得而知,Nous ignorons encore aujourd'hui si le projet Côte Rouge est un échec,ignorons
168,自然而然,一切都是自然而然发生的,"Tout s'était fait de façon naturelle, banale.",de façon naturelle
169,夜深人静,夜深人静的时候,"La nuit, lorsque tout était calme","La nuit, lorsque tout était calme"
170,重如泰山,一切都重如泰山,qu'elle est ce qu'il y a de plus important au monde ,de plus important au monde 
171,不以为然,伽利略不以为然地摇摇头,"dit Galilée en secouant la tête d'un air désapprobateur.
","d'un air désapprobateur.
"
172,兴高采烈,伽利略等人兴高采烈地从阴暗的一角搬出一具十字火刑架,"Galilée et d'autres sortirent avec enthousiasme d'un coin de la pièce une grande croix et se préparèrent à y mettre le feu.
",avec enthousiasme
173,无动于衷,只有达?芬奇对这一切无动于衷,Seul de Vinci semblait rester complètement indifférent à ce spectacle.,complètement indifférent 
174,胡扯一通,曾在这里和你一样胡扯一通,"Comme vous, il a été brûlé pour avoir raconté des mensonges.", raconté des mensonges.
175,熊熊燃烧,马的躯体在熊熊燃烧,Un cheval surgit à travers la lumière.,travers la lumière
176,呼呼作响,奔跑时火焰呼呼作响,Le corps de l'animal était déjà en feu.,en feu
177,一动不动,红炽的盔甲一动不动,"Son heaume ne bougeait plus,",ne bougeait plus
178,熊熊燃烧,向着天空举起熊熊燃烧的双臂," les deux bras enflammés pointés vers le ciel,",enflammés pointés 
179,云蒸雾绕,见那里已被他抽得云蒸雾绕,"Le bureau de Shi Qiang était un vrai capharnaüm engorgé de fumée de cigarette, ","un vrai capharnaüm engorgé de fumée de cigarette,"
180,迷迷糊糊,每天迷迷糊糊地混日子, la paresse de jouer et les jours passaient sans que j'aie vraiment de but dans la vie.,sans que j'aie vraiment de but dans la vie.
181,卧虎藏龙,中学教师中可是卧虎藏龙,"À l'époque, un certain nombre d'enseignants du secondaire étaient des génies de la science ",étaient des génies de la science 
182,吊儿郎当,本科硕士博士都吊儿郎当,"Licence, maîtrise, doctorat, j'ai tout réussi, mais en dilettante.",mais en dilettante
183,遁入空门,却在晚年遁入空门,"C'était un homme d'une grande érudition qui, arrivé à un certain âge, avait choisi de tout abandonner pour entrer dans les ordres.",de tout abandonner pour entrer dans les ordres.
184,云蒸雾绕,见那里已被他抽得云蒸雾绕,"Le bureau de Shi Qiang était un vrai capharnaüm engorgé de fumée de cigarette,", engorgé de fumée 
185,迷迷糊糊,懒得学习，甚至懒得玩，每天迷迷糊糊地混日子。,"J'avais la paresse d'étudier, la paresse de jouer et les jours passaient sans que j'aie vraiment de but dans la vie.", sans que j'aie vraiment de but dans la vie.
186,地地道道,一到社会上，才发现自己是个地地道道的废物，除了数学啥也不会。,Ce n'est qu'une fois confronté au monde du travail que j'ai découvert que je n'étais qu'un bon à rien et que je ne savais rien faire d'autre que des mathématiques.,un bon à rien
187,空无一物,很快觉得这空无一物的宇宙根本不能使自己感到宁静。,"Mais bientôt, j'ai découvert que cet univers sans fin ne parvenait pas à m'apaiser.",sans fin
188,世外桃源,没想到这世外桃源是如此的不舒服：,Je n'avais pas imaginé que ce refuge hors du monde pouvait être si inconfortable,ce refuge hors du monde
189,无休无止,描述方程如暴雨般涌现，无休无止。,Les équations descriptives se sont cette fois mises à pleuvoir comme une averse sans fin.,comme une averse sans fin.
190,优胜劣汰,在计算中就这样优胜劣汰：,Ce type de calcul m'amenait à procéder par élimination , procéder par élimination 
