口齿伶俐;kǒu chǐ líng lì ;bouche et dents très agiles;savoir bien s’exprimer;avoir la parole facile;savoir manier la langue. ;;;;;;;;
口出狂言;kǒu chū kuáng yán;débiter d’imprudentes extravagances;prononcer des propos irrévérencieux (insolents). ;;;;;;;;;;
口恶心善;kǒu è xīn shàn    ; mauvaise bouche mais bon cœur;avoir la langue un peu vive mais bon cœur.;;;;;;;;;;
口耳之学;kǒu ěr zhī xué   ; apprendre par la bouche et l’oreille;connaissances acquises par ouï-dire;connaissances peu sérieuses;ouï-dire.;;;;;;;;
口干舌燥;kǒu gàn shé zào   ; bouche sèche et langue desséchée;avoir soif;trop parler.;;;;;;;;;
口讲指画;kǒu jiǎng zhǐ huà   ; accentuer son discours par des gestes;gesticuler en parlant. ;;;;;;;;;;
口角春风; kǒu jiǎo chūn fēng;le vent du printemps sur le coin des lèvres;dire du bien de quelqu'un;intercéder en faveur de quelqu’un. ;;;;;;;;;
口角生风;kǒu jiǎo shēng fēng;parler comme souffle le vent;parler avec facilité;;avoir la langue déliée (bien pendue).;;;;;;;;
口口声声;kǒukǒu shēngshēng;double bouche et double voix;ne cesser de répéter;parler d’abondance;parler à tout bout de champ (à tout propos);rebattre les oreilles;ne pas tarir sur…;;;;;;
口蜜腹剑;kǒu mì fù jiàn   ; bouche de miel et épée dans le ventre;avoir du miel sur les lèvres et un poignard dans son sein;bouche de miel, cœur de fiel (Prov.).;;;;;;;;;
口如悬河;kǒu ruò xuán hé   ; parler comme une chute d’eau;être très éloquent;parler avec volubilité;avoir de la conversation;parler à ne pas tarir;;;;;;;
口是心非;kǒu shì xīn fēi;la bouche dit oui, le cœur pense autrement;dire le contraire de ce qu'on pense;jouer un double jeu;duplicité;un homme à deux visages.;;;;;;;
口说无凭;kǒu shuō wú píng   ; parler sans preuve;paroles en l’air;la parole s’envole, les écrits restent (Prov.);;;;;;;;;
口血未干;kǒu xuè wèi gān   ; Le sang porté à la bouche n’est pas encore séché;Le sang porté à la bouche pour sceller l’alliance n’est pas encore séché qu’on viole la promesse;rompre aussitôt ses engagements. ;;;;;;;;;
口燥唇干;kǒu zào chún gàn   ; avoir la bouche et les lèvres sèches à force de parler;dépenser sa salive;user de la salive;parler en vain;prêcher dans le désert.;;;;;;;
口中雌黄;kǒu zhōng cí huáng   ; du minerai dans la boucheparler en air;parler à la légère;parler à tort et à travers;;;;;;;;;
口诛笔伐;kǒu zhū bǐ fá   ; stigmatiser (flétrir) de vive voix et de la plume;critiquer oralement et par écrit;tirer à boulets rouges sur.;;;;;;;;;
苦口婆心;kǔ kǒu pó xīn   ; conseiller (déconseiller) quelqu'un avec zèle et avec la meilleure foi du monde.;;;;;;;;;;;
脍炙人口;kuài zhì rén kǒu   ; viandes rôties répondant au goût de tous;mets délicieux très goûtus;être dans toutes les bouches sur toutes les lèvres;être l'objet de l'admiration générale;ouvrage qui fait l’objet de l’admiration générale;littérature universellement appréciée;;;;;;
琅琅上口;lángláng shàng kǒu   ; le bruit des voix sortant des bouches;facile à prononcer et à lire.;;;;;;;;;;
良药苦口;liáng yào kǔ kǒu   ; un bon remède est amer à la bouche;un conseil franc blesse;un conseil franc est pénible à entendre;Toute vérité n’est pas bonne à dire (Prov.).;;;;;;;;
骂不绝口;mà bù jué kǒu   ; n’avoir que des injures à la bouche;ne pas cesser d’injurier (de maudire);se répandre en invectives. ;;;;;;;;;
满口称赞;mǎn kǒu chēng zàn;plein de bouches pour louerne pas tarir ne d’éloges sur …;couvrir de louanges;en avoir la bouche pleine.;;;;;;;;;
免开尊口;miǎn kāi zūn kǒu   ; veuillez ne pas ouvrir votre noble bouche;Veuillez bien ne pas formuler une telle demande;c’est à moi de faire sans que vous le disiez.;;;;;;;;;
讷口敏行;nè kǒu mǐn xíng   ; parler peu mais faire vite;être discret en paroles et habile en actions. ;;;;;;;;;;
讷口少言;nè kǒu shǎo yán   ; bouche fruste et paroles rares;avare de paroles;peu communicatif;parler peu et simplement;être discret.;;;;;;;
弄口鸣舌;nòng kǒu míng shé;jouer de la bouche et siffler de la langue;semer la zizanie. ;;;;;;;;;;
贫嘴薄舌;pín zuǐ bó shé   ; bouche loquace et langue affinée;avoir la langue acérée;avoir le bec (le caquet) bien affilé;aimer lancer des piques;bavardage ennuyeux;;;;;;;
破口大骂;pò kǒu dà mà   ; s’user la bouche à force d’insultes;se répandre en invectives;proférer des injures, vociférer;accabler (abreuver, couvrir) d’injures.;;;;;;;;
钳口不言;qián kǒu bù yán   ; fermer la bouche;ne pas desserrer les dents;rester bouche close;s’enfermer dans le mutisme;;;;;;;;
七嘴八舌;qī zuǐ bā shé   ; avec sept bouches et huit langues;parler tous à la fois;y aller chacun de sa langue;brouhaha de voix;une véritable tour de Babel;;;;;;;
轻口薄舌;qīng kǒu bó shé   ; tenir des propos frivoles ou acerbes;proférer des paroles sarcastiques;lancer des pointes.;;;;;;;;;
人多嘴杂;rén duō zuǐ zá   ; beaucoup de personnes et autant de bouches;autant de têtes, autant d’avis;les langues vont bon train.;;;;;;;;;
任口胡说;rèn kǒu hús huō   ; laisser la bouche dire ce qu’elle veut;parler à tort et à travers;avoir la parole trop libre;débiter des propos absurdes. ;;;;;;;;
如出一口;rú chū yī kǒu   ; comme sorti d’une seule bouche;parler à l’unanimité (d’une seule voix). ;;;;;;;;;;
三缄其口;sān jiān qí kǒu   ; fermer sa bouche plusieurs foisbouche cousue;ne pas desserrer les dents;se retrancher dans le mutisme;avaler sa langue;tenir sa langue. ;;;;;;;
杀人灭口;shā rén miè kǒu   ; tuer une personne et faire taire sa bouche;éliminer un témoin gênant.  ;;;;;;;;;;
矢口不移;shǐ kǒu bù yí;la bouche a fait serment, et ne change pas;ne pas varier dans ses déclarations;n'avoir qu'une parole. ;;;;;;;;;
矢口抵赖;shǐ kǒu dǐ lài   ; nier catégoriquement ce qu'on a dit ou fait;rejeter des accusations fondées;nier hardiment;refuser d'admettre une culpabilité;;;;;;;;
守口如瓶;shǒu kǒu rú píng   ; fermer hermétiquement la bouche comme une bouteille bouchée;garder jalousement un secretgarder le secret;être très discret;;motus et bouche cousue ;tenir sa langue.;;;;;;
授人口实;shòu rén kǒu shí;donner à quelqu’un un sujet de conversation;prêter le flanc à une critique;;;;;;;;;;
素口骂人;sù kǒu mà rén   ; injurier les gens avec une bouche qui fait maigre;nourrir des desseins inavouables, tout en faisant ses prières. ;;;;;;;;;;
笑口常开;xiào kǒu cháng kāi;avoir toujours un sourire aux lèvres;garder un visage souriant. ;;;;;;;;;;
信口开河;xìn kǒu kāi hé   ; croire sa bouche capable de fendre la rivière;parler en l’air;parler à la légère;parler à tort et à travers;;;;;;;;
哑口无言;yǎ kǒu wú yán   ; bouche muette et sans paroles;rester (demeurer) court;être réduit au silence;ne trouver plus rien à dire;ne savoir que répondre;en rester coi;être à court d’arguments;;;;;
掩口而笑;yǎn kǒu ér xiào   ; mettre la main à la bouche pour contenir les éclats de rire ; rire en mettant la main à la bouche;;rire dans sa barbe;rire sous cape.;;;;;;;
养家糊口;yǎng jiā hú kǒu   ; pourvoir aux besoins de la maison;nourrir les siens;faire bouillir la marmite;;;;;;;;;
一口咬定;yī kǒu yǎo dìng    ; s’en tenir mordicus à sa déclaration;ne pas démordre de son avis. ;;;;;;;;;;
引为口实;yǐn wéi kǒu shí   ; sujet de conversation;prendre quelque chose pour prétexte;chercher une échappatoire (un alibi). ;;;;;;;;;
油嘴滑舌;yóu zuǐ huá shé   ; tenir des propos onctueux;un ton patelin;des propos frivoles.;;;;;;;;;
有口难辩;yǒu kǒu nán biàn   ; avoir du mal à s’expliquer;ne trouver aucun moyen de se justifier;avoir du mal à exprimer son amertume ou sa douleur;être trop délicat pour en parler;;toute vérité n’est pas bonne à dire (Prov.);;;;;;
砸嘴弄舌;zá zuǐ nòng shé   ; taper de la bouche et jouer de la langue;de belles paroles;être patelin;faire du baratin;faire jouer sa platine;;;;;;;
张口结舌;zhāng kǒu jié shé   ; bouche bée mais langue liée;être (rester, demeurer) interdit;regarder d’un air hébété;ne plus pouvoir émettre un son. ;;;;;;;;
众口难调;zhòng kǒu nán tiáo   ; il est difficile de satisfaire toutes les bouches;on ne peut contenter tout le monde;chacun ses goûts;l’un demande du mou, l’autre du dur.;;;;;;;;
众口烁金;zhòng kǒu shuò jīn   ; l’accord des voix fait fondre le métal;à force d’être répétées, les rumeurs finissent par emporter la conviction;rumeurs répétées deviennent vérités;la langue tue plus de gens que le glaive (Prov.).;;;;;;;;
众口一词;zhòng kǒu yī cí    ; beaucoup de bouches, une seule voix;tout le monde tien le même langage;d’une seule voix;;;;;;;;;
众口纷纭;zhòng kǒu fēn yún;bouches nombreuses et versions diverses;tout le monde en parle;tout le monde parle en même temps;cacophonie. ;;;;;;;;
嘴上无毛;zuǐ shàng wú máo   ; ne pas avoir de barbe au menton;blanc-bec;louveteau. ;;;;;;;;;
赤膊上阵;chì bó shàng zhèn;aller au front bras nus;entrer en lice le torse nu;s’engager ouvertement dans le combat;s’engager dans le combat en laissant tomber le masque;passer ouvertement à l’action;monter sur le ring;descendre dans l’arène.;;;;;
割臂之盟;gē bì zhī méng   ; s’inciser le bras en serment de mariage;promesse secrète de mariage;serment de fidélité mutuelle.;;;;;;;;;
使臂使指;shǐ bì shǐ zhǐ   ; le bras qui dirige ses doigts;aussi facile que de diriger les bras et les doigts;diriger avec aisance;;se faire obéir au doigt et à l’œil (Aussi  如臂使指 rú bì shǐ zhǐ).;;;;;;;
失之交臂;shī zhī jiāo bì   ; manquer l’occasion de se rencontrerlaisser échapper l’occasion;rater l’occasion;manquer le coche (Fam.).;;;;;;;;;
一臂之力;yī bì zhī lì   ; la force d’un bras;prêter l’épaule;tendre une perche à quelqu'un;donner un coup de main.;;;;;;;;
髀肉复生;bì ròu fù shēng;chair des cuisses redevenue grasse;l'oisiveté fait grossir;s’engraisser sans rien faire;perdre son temps pour rien.;;;;;;;;
冰肌玉骨;bīng jī yù gǔ ;à la chair diaphane comme la glace et aux os de jade;une belle femme (Aussi  玉骨冰肌 yù gǔ bīng jī冰肌玉肤 bīng jī yù fū).;;;;;;;;;;
酒池肉林;jiǔ chí ròu lín   ; étang de vin, forêt de viande;être une crapule;vie de débauche;orgie.;;;;;;;;
酒肉朋友;jiǔ ròu péng yǒu   ; amis du vin et de la viande;amis de table;compagnons de beuverie. ;;;;;;;;;
沦肌浃髓;lún jī jiā suǐ;pénétrer dans les muscles et la moelle osseuse;atteindre quelqu'un jusqu’aux fibres;avoir une impression très profonde;ressentir fortement (Aussi  沦浹肌髓 lún jiā jī suǐ). ;;;;;;;;
肉食者鄙;ròu shí zhě bǐ   ; les mangeurs de viande ont la vue courte;dignitaires étroits d’esprit;de gros bonnets incapables.;;;;;;;;;
弱肉强食;ruò ròu qiáng shí   ; les faibles servent de pâture aux forts;la loi de la jungle;la raison du plus fort est toujours la meilleure (Prov.);les gros poissons mangent les petits (Prov.).;;;;;;;;
肉袒面缚;ròu tǎn miàn fù   ; se dénuder et se lier les mains par derrière pour faire amende honorable;cesser de résister et s'avouer vaincu;prendre le sac et la cendre;aller à Canossa.;;;;;;;;
肉眼凡胎;ròu yǎn fán tāi    ; fœtus de chair et d’yeux ordinaires;personne superficielle et bonne à rien.;;;;;;;;;;
食肉寝皮;shí ròu qǐn pí   ; vouloir manger sa chair et coucher sur sa peau;une haine implacable vouée à un adversaire.;;;;;;;;;;
剜肉补疮;wān ròu bǔ chuāng   ; exciser un morceau de sa chair pour l’appliquer sur son abcès;faire un trou pour en boucher un autre;le remède est pire que le mal (Prov.) (Aussi  剜肉医疮 wān ròu yī chuāng).;;;;;;;;;
白发苍苍;bái fà cāngcāng   ; avoir les cheveux de neige;cheveux argentés;chenu.;;;;;;;;;
白发红颜;bái fà hóng yán   ; cheveux blancs mais bonne mine;cheveux blancs, teint juvénile;vieillard qui a le teint fleuri;vieil homme en bonne santé (Aussi  鹤发童颜 hè fà tóng yán).;;;;;;;;
发指眦裂;fà zhǐ zì liè   ; les cheveux dressés et les yeux exorbités;;montrer les dents;rougir de colère;écumer de rage.;;;;;;;
燎发摧枯;liǎo fà cuī kū    ; brûler les cheveux et casser le bois mort;vaincre sans la moindre difficulté. ;;;;;;;;;;
令人发指;lìng rén fà zhǐ;faire dresser les cheveux d'indignation;mettre quelqu'un hors de soi;;horrible à faire dresser les cheveux;provoquer l’indignation de l’opinion publique;révoltant;c’est à faire frémir !;;;;;
怒发冲冠;nù fà chōng guàn;De colère, ses cheveux dressés soulèvent le chapeau;fou de rage;sentir le sang bouillir dans ses veines;;sortir de ses gonds.;;;;;;;
发短心长;fà duǎn xīn cháng   ; cheveux courts mais grande sagacité;vieillard expérimenté et ingénieux. ;;;;;;;;;;
毫发不爽;háo fà bù shuǎng   ; pas un cheveu d’erreur;pas un cheveu de différence;sans la moindre différence;d'une grande précision;d'une exactitude parfaite.;;;;;;;
间不容发;jiān bú róng fà   ; un interstice de moins d’un cheveu;être dans un danger imminent;se trouver à un moment critique;il s'en faut de peu que …;;;;;;;;
千钧一发;qiān jun yī fà    ; un poids de mille livres suspendu à un cheveu;un danger imminent;moment critique;une épée de Damoclès;;cela ne tient qu'à un cheveu (ou à un fil).;;;;;;
英姿焕发;yīng zī huàn fā   ; allure éminente et chevelure splendide;brave et beau (Aussi  英姿勃发 yīng zī bó fā).;;;;;;;;;;
两肋插刀; liǎng lèi chā dāo    ; sacrifier ses deux côtes pour quelqu'un;être toujours prêt à tout pour ses amis;se damner pour quelqu’un.;;;;;;;;;
刎颈之交;wěn jǐng zhī jiāo   ; amitié jusqu’à se couper la gorge pour son ami;amis jusqu’à l’échafaud;à la vie, à la mort.;;;;;;;;;
项背相望;xiàng bèi xiāng wàng   ; cou à cou, dos à dos;file ininterrompue de personnes;un flot continu de gens;une foule compacte;lieu qui grouille de monde.;;;;;;;
变生肘腋;biàn shēng zhǒu yè   ; incident proche comme coude et aisselle;incident produit dans l’entourage;;complot ourdi à la barbe de (au nez et à la barbe de);;;;;;;;
捉襟见肘;zhuō jīn jiàn zhǒu   ; laisser voir son coude en tirant le revers de sa veste;être noyé dans de nombreuses difficultés;;être dans de beaux (de mauvais, de sales, de vilains) draps.  ;;;;;;;;
包藏祸心;bāo cáng huò xīn   ; dissimuler des sentiments malveillants;couver de mauvais desseins (des projets coupables);nourrir de mauvaises intentions.;;;;;;;;;
别具匠心; bié jù jiàng xīn   ; avoir un cœur différent;avoir de l’originalité.;;;;;;;;;;
别有用心;bié yǒu yòng xīn ;avoir d’autres pensées;avoir des arrière-pensées malveillantes;;il y a anguille sous roche;avoir des desseins inavouables;;avoir une idée derrière la tête;à des fins personnelles.;;;;
不得人心;bú dé rén xīn   ; ne pas gagner le cœur des gens;être impopulaire;être discrédité;ne pas jouir de la popularité;avoir une mauvaise réputation.;;;;;;;
财迷心窍;cái mí xīn qiào   ; perdre tout cœur par goût des richesses;être possédé par la passion de l’argent.;;;;;;;;;;
恻隐之心;cè yǐn zhī xīn   ; cœur plein de compassion;sentiments de compassion;témoigner de la sympathie;éprouver de la pitié. ;;;;;;;;
茶饭无心;chá fàn wú xīn   ; ne pas avoir le cœur à boire du thé ni manger du riz;n’avoir le cœur à rien.;;;;;;;;;;
敞开心扉; chǎng kāi xīn fēi;parler  à cœur ouvert. ;;;;;;;;;;;
臣心如水;chén xīn rú shuǐ   ; mon cœur est aussi pur que l’eau;intègre.;;;;;;;;;;
称心如意;chēng xīn rú yì   ; voir ses vœux comblés (exaucés);éprouver une douce satisfaction;tout avoir à souhait;trouver quelqu'un (quelque chose) selon son cœur;trouver chaussure à son pied (Fam.);être en pleine euphorie;être heureux comme un pape ;avoir son content (Aussi  称心满意 chèn xīn mǎn yì趁心如意 chèn xīn rú yì可心如意 kě xīn rú yì遂心如意 suì xīn rú yì).;;;;
诚心诚意;chéng xīn chéng yì   ; de tout bon (grand) cœur;de bonne foi, sincèrement;;de tout cœur;en toute bonne foi;en son âme et conscience. ;;;;;;
痴心妄想;chī xīn wàng xiǎng   ; cœur fou et pures illusions;se bercer de vains espoirs;se repaître de chimères;chercher la lune en plein jour;vouloir prendre la lune avec les dents;vouloir décrocher la lune;bâtir des châteaux en Espagne.;;;;;
赤子之心;chì zǐ zhī xīn   ; un cœur de nouveau-né;d’une probité incorruptible■;un cœur d’or■;avoir un cœur d’or. ;;;;;;;;
赤心报国;chì xīn bào guó   ; un cœur fidèle et dévoué à la patrie;servir sa patrie avec dévouement;montrer un patriotisme ardent. ;;;;;;;;;
处心积虑;chù xīn jī lǜ;cœur préoccupé de nombreuses préméditations;chercher par mille et un moyens à faire quelque chose;ruminer toutes sortes de plans;préméditer de longue date;faire avec application et persévérance;;faire quelque chose de longue main. ;;;;;
椎心泣血;chuí xīn qì xuè   ; se frapper le cœur et verser des larmes de sang;douleur (affliction) extrême. ;;;;;;;;;;
从心所欲;cóng xīn suǒ yù   ; agir selon son cœur;agir à son gré;agir à sa guise;agir selon son humeur (son bon plaisir) ;n'en faire qu'à sa fantaisie;n'avoir d'autre guide que son caprice (Aussi  随心所欲 suí xīn suǒ yù).;;;;;;
粗心大意;cū xīn dà yì ;cœur distrait et négligence;inattention et négligence;qui manque de soin;se montrer négligent;agir à la légère;être peu consciencieux;par négligence;par inadvertance;faire quelque chose avec négligence;avoir une tête (cervelle) de linotte.;;
摧心剖肝;cuī xīn pōu gān   ; déchirer [briser, fendre] le cœur et couper le foie;avoir le cœur ulcéré de douleur;être torturé par une douleur mortelle. ;;;;;;;;;
大快人心;dà kuài rén xīn   ; à la grande satisfaction de tous;égayer (réjouir) beaucoup les genstrès réjouissant (Aussi  人心大快 rén xīn dà kuài).;;;;;;;;;;
大得人心;dà dé rén xīn   ; gagner largement le cœur des gens;jouir d'une large popularité;être d’un grand crédit auprès du peuple. ;;;;;;;;;
大发善心;dà fā shàn xīn   ; donner largement de grand cœur;faire le bon Samaritain;se montrer miséricordieux;éprouver de la compassion. ;;;;;;;;
悼心失图;dào xīn shī tú    ; élaborer très mal un projet à cause d’une affliction profonde;être troublé par le chagrin. ;;;;;;;;;;
得心应手;dé xīn yīng shǒu   ; la main répond aux désirs du cœur;;avoir la main heureuse;qui  marche à souhait;faire quelque chose avec bonheur;bien dominer son jeu (Aussi  得手应心 dé shǒu yìng xīn). ;;;;;;
掉以轻心;diào yǐ qīng xīn   ; prendre d’un cœur léger;prendre à la légère;adopter une attitude désinvolte;tenir pour peu important;commettre une imprudence;faire preuve de négligence. ;;;;;;
定下决心;dìng xià jué xīn;décider de tout son cœur;prendre une résolution inébranlable;formuler une décision irrévocable. ;;;;;;;;;
动人心魄; dòng rén xīn pò   ; faire battre le cœur;émouvoir jusqu'au tréfonds de l’âme;toucher au cœur [au plus profond du cœur].;;;;;;;;;
动人心弦;dòng rén xīn xián   ; faire vibrer les cordes du cœur;toucher la corde sensible;faire battre le cœur;émouvoir jusqu’au tréfonds de l’âme.;;;;;;;;
独出心裁;dú chū xīn cái;avoir une idée originale;marqué d'un caractère original;faire œuvre originale;avoir l’imagination hardie;être atypique;concevoir des projets particuliers;se distinguer par un esprit inventif (Aussi  独具匠心dú jù jiàng xīn别出心裁 bié chū xīn cái).;;;;;
费尽心机;fèi jìn xīn jī   ; s’épuiser tout le cœur;s’épuiser en subterfuges;se mettre l'esprit à la torture;se donner beaucoup de mal;se creuser la cervelle;se casser la tête (Aussi  费尽心思 fèi jìn xīn sī 用尽心机 yòng jìn xīn jī).;;;;;;
费心劳力;fèi xīn láo lì;dépenser son cœur et fatiguer ses forces;se donner beaucoup de mal. ;;;;;;;;;;
抚心自问;fǔ xīn zì wèn   ; mettre la main sur son cœur et faire son examen de conscience;s'interroger en conscience;faire son examen de conscience;procéder à un examen de conscience;faire un retour sur soi-même (Aussi  扪心自问 mén xīn zì wèn扪心无愧 mén xīn wú kuì).;;;;;;;
高下在心;gāo xià zài xīn     ; haut et bas présents au cœur;peser le pour et le contre;prendre des mesures appropriées;être sûr de ce qu'on va faire.;;;;;;;;
攻心为上;gōng xīn wéi shàng   ; la meilleure tactique est de conquérir les cœurs;l’offensive psychologique constitue la meilleure tactique. ;;;;;;;;;;
钩心斗角;gōu xīn dòu jiǎo   ; fouiller les cœurs et lutter avec les cornes;intriguer contre;imaginer toutes sortes de manœuvres;magouiller (Fam.) (Aussi  勾心斗角 gōu xīn dòu jiǎo). ;;;;;;;;
蛊惑人心;gǔ huò rén xīn;envoûter, fasciner les cœurs;abuser les gens (par des rumeurs mensongères);faire preuve de démagogie;jeter la confusion dans les esprits. ;;;;;;;;
归心似箭;guī xīn sì jiàn   ; par nostalgie, désirer rentrer comme une flèche;brûler de retourner dans son pays natal;être impatient de retourner chez soiavoir le mal du pays (Aussi  归心如箭 guī xīn rú jiàn). ;;;;;;;;;
鬼迷心窍;guǐ mí xīn qiào   ; avoir le cœur ensorcelé par le démon;être possédé par le diable;être sous l'empire d'un sortilège malfaisant;être en proie à une obsession (à une idée fixe).;;;;;;;;
寒心酸鼻;hán xīn suān bí   ; cœur froid et nez qui pique;glacé de frayeur et envahi par la douleur;être plongé dans la tristesse. ;;;;;;;;;
好心好意;hǎo xīn hǎo yì   ; de bon cœur et de bonne volonté.;;;;;;;;;;;
怀恨在心;huái hèn zài xīn   ; avoir de la haine dans le cœur;garder rancune;donner (nourrir) de la rancune;garder du ressentiment.;;;;;;;;
灰心丧气;huī xīn sàng qì   ; avoir le cœur gris et perdre courage;être en proie à la consternation (à l’abattement), être démoralisé;avoir le moral à zéro;perdre tout courage;jeter le manche après la cognée.;;;;;;;
回心转意;huí xīn zhuǎn yì   ; retourner son cœur et changer d’avis;changer d’avis;revenir sur sa décision;revirement;abandonner un parti pris (Aussi  意回心转 huí xīn zhuǎn yì).;;;;;;;
会心一笑;huì xīn yī xiào   ; le sourire d’un cœur compréhensif;esquisser un sourire entendu;échanger des sourires d’intelligence;adresser un sourire de complicité (de connivence). ;;;;;;;;
蕙质兰心;huì zhí lán xīn   ; un cœur et un esprit pur;;;;;;;;;;;
计上心来;jì shàng xīn lái   ; un stratagème vient au cœur;une idée soudaine (Aussi  计上心头 jì shàng xīn tóu).;;;;;;;;;;
觊觎之心;jìyú zhī xīn   ; un cœur plein de convoitise;convoiter;avoir des desseins (des vues) sur quelque chose.;;;;;;;;;
见财起心;jiàn cái qǐ xīn   ; la vue de l'or excite la convoitise;à la vue des biens d'autrui, nourrir une intention mauvaise;concevoir des desseins coupables en voyant le coffre-fort (Aussi  见财起意 jiàn cái qǐ yì).;;;;;;;;;
见猎心喜;jiàn liè xīn xǐ   ; la vue de la chasse suffit à ravir le cœur;éprouver de la joie à pratiquer un art favori;sentir revivre son ancienne passion.;;;;;;;;;
江心补漏;jiāng xīn bǔ lòu    ; Au cœur du fleuve, on répare la brèche du navire;après la mort, le médecin.;;;;;;;;;;
将心比心;jiāng xīn bǐ xīn;agir avec son cœur comme autrui avec le sien;traiter autrui comme on voudrait être traité.;;;;;;;;;;
匠心独运;jiàng xīn dú yùn;cœur d’artiste se distingue;se distinguer par une création ingénieuse;une invention géniale (Aussi  匠心独具 jiàng xīn dú jù匠心独出 jiàng xīn dú chū).;;;;;;;;;
降心相从;jiàng xīn xiāng cóng ;sacrifier son opinion pour se ranger à l’avis d’autrui;se résigner à suivre l’avis des autres. ;;;;;;;;;;
锦心绣腹;jǐn xīn xiù fù   ; cœur fleuri comme brocart, ventre brodé;pensée riche comme un brocart, paroles ornées comme une broderie;esprit superbe et style recherché (Aussi  锦心绣口 jǐn xīn xiù kǒu).;;;;;;;;;
尽心竭力;jìn xīn jié lì   ; avoir du cœur à l’ouvrage;prendre à cœur;se dévouer;;de tout son cœur et de toutes ses forces;;s’appliquer corps et âme à son travail. ;;;;;
惊心动魄;jīng xīn dòng pò;cœur affolé et âme secouée;qui remue l’âme;bouleversant;ahurissant;impressionnant.;;;;;;;
精心策划;jīng xīn cè huà   ; planifier avec cœur minutieux;méthodiquement préparé;faire quelque chose avec un soin méticuleux (Aussi  精心结构 jīng xīn jié gòu精心炮制 jīng xīn pào zhì).;;;;;;;;;
